dates,stock,open,close,high,low,volume,category
2009-01-27,KO,43.2800,43.3300,43.9300,43.0000,9911400,Food
2009-01-26,KO,42.6200,43.0300,43.3800,42.1200,12605400,Food
2009-01-23,KO,42.6500,42.2000,42.6590,41.5600,15627900,Food
2009-01-22,KO,42.6400,43.1200,43.2300,42.3000,11744700,Food
2009-01-21,KO,43.4000,43.2900,43.4500,42.1600,11900300,Food
2009-01-20,KO,43.7800,42.8800,44.5000,42.8800,14165900,Food
2009-01-16,KO,43.9000,43.8400,44.4800,43.4700,14176600,Food
2009-01-15,KO,42.5700,43.3600,43.3900,42.4000,14030800,Food
2009-01-14,KO,43.5000,42.6200,43.5300,42.2700,13526800,Food
2009-01-13,KO,43.8000,44.0200,44.3200,43.6200,11301200,Food
2009-01-12,KO,44.4600,43.7300,44.6700,43.5100,10234900,Food
2009-01-09,KO,45.2300,44.6000,45.2600,44.2500,9901200,Food
2009-01-08,KO,44.8400,45.2400,45.2800,44.5600,10043500,Food
2009-01-07,KO,44.2200,44.9300,45.1800,44.2200,10790500,Food
2009-01-06,KO,45.7000,44.7100,45.9700,44.4600,10653900,Food
2009-01-05,KO,45.5700,45.4400,45.8900,45.1800,10118600,Food
2009-01-02,KO,45.4000,45.9000,46.0000,45.0450,8177900,Food
2008-12-31,KO,45.1700,45.2700,45.5000,45.0600,7775200,Food
2008-12-30,KO,44.6200,44.9300,45.1400,44.5400,8000900,Food
2008-12-29,KO,44.8600,44.4100,44.8600,43.7220,6975300,Food
2008-12-26,KO,44.4100,44.5800,44.9300,44.2700,4813300,Food
2008-12-24,KO,44.0500,44.1000,44.3500,44.0000,2658300,Food
2008-12-23,KO,44.7300,43.9700,45.1300,43.8600,10088100,Food
2008-12-22,KO,44.7300,44.6600,44.8100,44.0000,11188400,Food
2008-12-19,KO,45.7500,44.4300,46.0100,44.1800,25273800,Food
2008-12-18,KO,46.0700,45.1800,46.4500,44.7700,15547200,Food
2008-12-17,KO,46.0800,45.4800,46.4500,45.0100,13203700,Food
2008-12-16,KO,45.2700,46.4600,46.7900,44.7300,17531500,Food
2008-12-15,KO,44.8800,44.9700,45.2700,43.8400,10199600,Food
2008-12-12,KO,43.7500,44.5700,44.6400,43.0000,15229000,Food
2008-12-11,KO,45.1800,44.2200,45.6400,43.9000,16641700,Food
2008-12-10,KO,44.4700,45.3100,45.8800,44.4700,14681900,Food
2008-12-09,KO,45.5300,44.8300,46.5500,44.3800,13317500,Food
2008-12-08,KO,46.4900,45.9800,47.0600,45.4400,13454200,Food
2008-12-05,KO,44.3300,45.9800,46.0900,43.4200,14138100,Food
2008-12-04,KO,45.5700,44.7500,46.5700,44.2100,16029600,Food
2008-12-03,KO,43.6700,46.1400,46.4000,43.5000,19947100,Food
2008-12-02,KO,45.0200,43.9300,45.0200,42.9400,14335000,Food
2008-12-01,KO,46.1900,44.3300,46.5100,44.3000,12576600,Food
2008-11-28,KO,45.2000,46.8700,46.9100,45.2000,6282800,Food
2008-11-26,KO,44.2600,45.3800,45.4500,43.7500,10674500,Food
2008-11-25,KO,45.8300,45.0700,46.5100,44.2600,16185300,Food
2008-11-24,KO,44.4900,45.2300,46.1100,43.7000,18360400,Food
2008-11-21,KO,41.6400,44.0000,44.2900,40.5000,25052400,Food
2008-11-20,KO,42.0000,41.0700,43.7600,41.0000,21134400,Food
2008-11-19,KO,43.6500,42.2700,44.6000,42.2100,16189900,Food
2008-11-18,KO,43.3200,43.4900,43.7500,42.0295,19461600,Food
2008-11-17,KO,44.6200,43.9700,44.9300,43.2000,15336000,Food
2008-11-14,KO,45.5900,45.0200,47.1800,44.9800,16691100,Food
2008-11-13,KO,43.8500,46.2800,46.3700,43.3200,18773400,Food
2008-11-12,KO,43.6900,43.8300,44.5700,42.8100,17513900,Food
2008-11-11,KO,45.5900,44.4400,45.7800,43.9300,13743500,Food
2008-11-10,KO,46.8700,45.9000,47.2900,45.1100,11280800,Food
2008-11-07,KO,44.8400,46.2500,46.9200,44.4900,14590400,Food
2008-11-06,KO,44.7500,44.4900,45.4600,43.8600,17001400,Food
2008-11-05,KO,45.7200,44.7300,46.4400,44.6000,11748400,Food
2008-11-04,KO,46.7000,46.0300,46.9900,45.6100,11887100,Food
2008-11-03,KO,44.5100,45.4500,45.6500,44.1600,9288100,Food
2008-10-31,KO,45.1400,44.0600,46.0000,43.5000,15935100,Food
2008-10-30,KO,44.9400,44.6600,45.5000,43.8700,12971100,Food
2008-10-29,KO,44.6000,43.8500,45.8000,43.5000,14929600,Food
2008-10-28,KO,41.5600,45.2500,45.3200,41.1200,18039800,Food
2008-10-27,KO,41.1500,41.0100,43.2200,41.0000,14706000,Food
2008-10-24,KO,41.0000,41.6100,43.0000,41.0000,20398800,Food
2008-10-23,KO,45.6000,43.0600,45.6000,41.5000,28160600,Food
2008-10-22,KO,45.6000,45.3800,46.2200,44.2200,15945600,Food
2008-10-21,KO,46.3600,46.0300,47.1300,46.0000,10963500,Food
2008-10-20,KO,45.0900,46.4600,46.8700,44.5300,13886500,Food
2008-10-17,KO,44.9600,44.2000,46.1700,42.9100,21015000,Food
2008-10-16,KO,44.8000,45.7800,45.9100,42.1300,26534700,Food
2008-10-15,KO,46.8300,44.2100,47.3300,43.9100,28128000,Food
2008-10-14,KO,47.1000,43.7300,47.1000,42.6500,28832800,Food
2008-10-13,KO,43.4300,47.2600,47.5300,43.2100,25239200,Food
2008-10-10,KO,42.0500,41.5000,45.0500,40.2900,36783600,Food
2008-10-09,KO,47.5700,43.3000,47.6300,43.3000,23144200,Food
2008-10-08,KO,48.6500,47.4100,49.6000,46.4500,24542100,Food
2008-10-07,KO,51.3000,49.3000,51.5500,49.0800,17410100,Food
2008-10-06,KO,51.3400,50.9200,52.2900,48.7200,23121800,Food
2008-10-03,KO,53.7800,52.5700,55.0000,52.3900,13847900,Food
2008-10-02,KO,53.0500,53.6000,54.2700,52.9000,15334500,Food
2008-10-01,KO,52.6200,54.1600,54.2800,52.5200,14548200,Food
2008-09-30,KO,51.8100,52.8800,52.9000,51.0100,17596600,Food
2008-09-29,KO,52.0800,51.0300,52.9600,50.4100,19515600,Food
2008-09-26,KO,50.9400,52.4800,52.6600,50.8400,13758400,Food
2008-09-25,KO,50.4000,51.4600,52.2300,50.3600,13087400,Food
2008-09-24,KO,51.0000,50.1900,51.1000,49.8700,10870300,Food
2008-09-23,KO,51.4300,50.6800,52.3400,50.5700,12843000,Food
2008-09-22,KO,52.5100,51.3800,52.6600,51.3100,11677600,Food
2008-09-19,KO,54.7500,52.7200,54.7500,50.1200,23903700,Food
2008-09-18,KO,53.2200,53.3900,54.0400,52.1000,20173600,Food
2008-09-17,KO,54.5600,52.6600,54.8900,52.6500,18768000,Food
2008-09-16,KO,54.0300,54.8500,55.0300,53.7000,16414700,Food
2008-09-15,KO,53.7600,54.7500,55.7700,53.5400,16081200,Food
2008-09-12,KO,53.8500,54.5000,54.5500,53.5500,10182100,Food
2008-09-11,KO,53.1900,54.1500,54.5800,53.0500,13704600,Food
2008-09-10,KO,54.0700,53.8100,54.1000,53.3100,12304500,Food
2008-09-09,KO,53.1700,53.8800,54.5200,53.1700,14731800,Food
2008-09-08,KO,52.7200,53.3800,53.5300,52.3000,11153400,Food
2008-09-05,KO,51.6900,51.9300,52.1100,51.4800,9142100,Food
2008-09-04,KO,51.7400,51.7100,52.2800,51.2000,12949500,Food
2008-09-03,KO,51.6600,51.6600,52.0400,51.2700,11224400,Food
2008-09-02,KO,52.2200,51.9600,52.9600,51.9100,12861900,Food
2008-08-29,KO,53.0900,52.0700,53.0900,52.0400,8920600,Food
2008-08-28,KO,53.2500,53.1200,53.5700,52.9000,10430500,Food
2008-08-27,KO,53.5900,53.7900,54.0100,53.2200,6797700,Food
2008-08-26,KO,53.5700,53.5200,53.8900,53.1500,4730700,Food
2008-08-25,KO,54.1400,53.5700,54.5900,53.3700,6164600,Food
2008-08-22,KO,53.6200,54.3700,54.5100,53.4100,7406300,Food
2008-08-21,KO,54.1900,53.5100,54.2400,53.2200,5835400,Food
2008-08-20,KO,54.5500,54.3500,54.7400,53.9000,5516600,Food
2008-08-19,KO,54.2300,54.3300,54.5890,53.9800,8282100,Food
2008-08-18,KO,55.0700,54.3300,55.3600,53.9400,10568800,Food
2008-08-15,KO,55.2200,55.0600,55.6200,54.7500,11946000,Food
2008-08-14,KO,55.0500,55.0200,55.8400,54.7500,7705900,Food
2008-08-13,KO,54.5600,55.2100,55.4400,54.4000,9518400,Food
2008-08-12,KO,55.1900,54.7900,55.8200,54.1200,8345400,Food
2008-08-11,KO,55.1400,55.3500,55.8300,54.8500,7091800,Food
2008-08-08,KO,54.0000,55.4100,55.5300,53.7100,9829100,Food
2008-08-07,KO,55.1600,54.0100,55.1600,53.8400,9964400,Food
2008-08-06,KO,54.8700,55.3600,55.4800,54.6000,10190000,Food
2008-08-05,KO,54.1000,54.9100,55.0000,54.0500,12741600,Food
2008-08-04,KO,53.1200,53.9000,54.0800,52.9000,11139500,Food
